pid,event_id,dt,ts,duration_in_sec,store_id,floor_id,pair_id,pid_dt,store_name,type_by_brand,store_name_eng,pid_count,pid_id,q1,q2,q3,bucket,store_duration
ZHDC_foshan_hyc_20230524_clusterid_8372,7,2023-05-24,1684912343,108.0,zhdc-foshan-hyc-L125-N,L1,21,1570235,大疆,零售,Dji,4,1927630,58.0,144.0,372.0,Q2,Dji_Q2
ZHDC_foshan_hyc_20230718_clusterid_14391,6,2023-07-18,1689660342,701.0,zhdc-foshan-hyc-L229-2-N,L2,16,1013332,百丽女鞋,零售,Belle,14,2775403,58.0,144.0,372.0,Q4,Belle_Q4
ZHDC_foshan_hyc_20230204_clusterid_28008,7,2023-02-04,1675501165,90.0,zhdc-foshan-hyc-B110-N,B1,10,681371,沃尔玛,主力店,Walmart,25,496961,131.0,634.0,1537.0,Q1,Walmart_Q1
ZHDC_foshan_hyc_20230528_clusterid_25818,6,2023-05-28,1685271781,22.0,zhdc-foshan-hyc-B121-1-N,B1,50,1645423,15分钟,零售,15 minutes,13,1983885,58.0,144.0,372.0,Q1,15 minutes_Q1
tmpPID_zhdc_foshan_hyc_cluster_35328,6,2023-02-17,1676621769,140.0,zhdc-foshan-hyc-L305-N,L3,9,1630780,Kappa,零售,Kappa,30,4131062,58.0,144.0,372.0,Q2,Kappa_Q2
ZHDC_foshan_hyc_20230727_clusterid_13668,6,2023-07-27,1690461707,4872.0,zhdc-foshan-hyc-L428-N,L4,37,1220256,迈菲健身,娱乐配套,Mayfield fitness,4,2927556,64.0,243.0,787.0,Q4,Mayfield fitness_Q4
ZHDC_foshan_hyc_20230806_clusterid_6264,7,2023-08-06,1691294066,149.0,zhdc-foshan-hyc-B125-B126-N,B1,7,1479457,鲍师傅,餐饮,Baoshifu,13,3120611,59.0,406.0,2865.0,Q2,Baoshifu_Q2
ZHDC_foshan_hyc_20230604_clusterid_35462,7,2023-06-04,1685850212,2857.0,zhdc-foshan-hyc-L129-N,L1,13,98643,UR,零售,Ur,18,2104541,58.0,144.0,372.0,Q4,Ur_Q4
ZHDC_foshan_hyc_20230607_clusterid_13929,6,2023-06-07,1686134633,2157.0,zhdc-foshan-hyc-L323-N,L3,36,137301,禄鼎记,餐饮,Ludingji,15,2131311,59.0,406.0,2865.0,Q3,Ludingji_Q3
ZHDC_foshan_hyc_20230711_clusterid_18426,6,2023-07-11,1689074453,97.0,zhdc-foshan-hyc-B129-N,B1,65,855208,COCO都可,餐饮,Coco ,7,2657866,59.0,406.0,2865.0,Q2,Coco _Q2
ZHDC_foshan_hyc_20230409_clusterid_23970,7,2023-04-09,1681018214,844.0,zhdc-foshan-hyc-B110-N,B1,59,724320,沃尔玛,主力店,Walmart,3,1326784,131.0,634.0,1537.0,Q3,Walmart_Q3
ZHDC_foshan_hyc_20230527_clusterid_32110,7,2023-05-27,1685189761,909.0,zhdc-foshan-hyc-L205-1-N,L2,37,1622008,cosyroom,零售,Cosyroom,3,1965579,58.0,144.0,372.0,Q4,Cosyroom_Q4
ZHDC_foshan_hyc_20230605_clusterid_18012,6,2023-06-05,1685963235,82.0,zhdc-foshan-hyc-L310-N,L3,13,112342,ASICS KIDS,儿童,Asics kids,10,2114506,68.0,229.0,917.0,Q2,Asics kids_Q2
ZHDC_foshan_hyc_20230703_clusterid_12414,7,2023-07-03,1688368479,1318.0,zhdc-foshan-hyc-L214-N,L2,52,670982,录上,零售,Lushang,38,2522536,58.0,144.0,372.0,Q4,Lushang_Q4
ZHDC_foshan_hyc_20230803_clusterid_16029,7,2023-08-03,1691049786,,zhdc-foshan-hyc-L136-N,L1,1,1384990,喜茶,餐饮,Hey Tea,8,3049598,59.0,406.0,2865.0,Q4,Hey Tea_Q4
